winery,variety,points,price,amount_of_wines,description
Fenestra,Cabernet Sauvignon,88.0,30.0,1,"This wine comes from an up-and-coming vineyard site. Very varietal aromas of black cherry, herb and cedar give way to soft fruit flavors and lightly grainy tannins. The tart acidity keeps the interest high. Put it on the dinner table to see it at its best."
Fenestra,Chardonnay-Semillon,84.5,17.0,2,"An estate bottled Pinot, this wine is inviting in floral and fruity characteristics, offering concise layers of red cherry, rose petals and a spark of oak that builds in intensity through the finish. This is a nice place to start on the winery's lineup of Carneros-Napa Valley Pinot Noir."
Fenestra,Grenache,87.5,27.5,2,"The Dundee Hills cuvée shows the tight, tart, higher acidity that is characteristic of the 2011 Pinots from the Willamette Valley. It spent 16 months in 45% new barrels and offers raspberry and cranberry fruit with grippy tannins and a mineral base. Drink now though 2025."
Fenestra,Malbec,88.33,25.67,3,"This cool vintage helps keep the alcohol down, but the seductive aromatics more than compensate. Varietal nuances of rosewater and other floral overtones enhance a rather delicate, elegant reserve. Raspberry fruit and highlights of baking spices continue through a persistent finish."
Fenestra,Mourvèdre,89.0,27.0,2,"The winery's high-end cuvée, this is a five-barrel blend, three of the barrels new. Dancing in cardamom and dark cherry, the background ripe and toasty, the flavors are exotic and long lingering. There's a tension and intensity to this wine that bests speaks to aging, or a full decant; either way, it'll be delicious."
Fenestra,Petit Verdot,88.0,33.0,1,"Light-bodied and yet offering a depth of complexity, this is resplendent in rhubarb and spicy anise, layered and textured in silky waves of fleshy flavor. A well balanced and approachable selection that's enjoyable now."
Fenestra,Petite Sirah,87.5,26.5,4,"Willful is the reincarnation of Daedalus, launched with this 2012 vintage. All Pommard clone and 95% estate-grown, this aromatic, welcoming wine brings nuanced black cherry and cola scents and flavors into focus. Lightly spiced, rather soft and open, it's a lovely example of the strengths of the 2012 vintage."
Fenestra,Port,89.75,33.0,4,"Here is an austere Pinot Noir that's both elegant and high-toned. The flavors mix black cherry and blueberry, while the finish is blithely earthy and herbal. A nice choice for mealtimes of an equally elegant nature, or an easy lunch of BLTs."
Fenestra,Red Blend,88.33,28.17,6,"This wine seems slightly past peak with aromas of overripe apple, lees and pear. It's lightly sweet with the concentration not seeming all there."
Fenestra,Rhône-style Red Blend,89.0,31.0,2,"A dense, bombshell of a blend, this is comprised of 80% Syrah and 20% Grenache. This tannic beast is somewhat reduced and chewy, committed entirely to meat, tobacco and leathery flavor."
Fenestra,Syrah,92.0,28.0,2,"Black plum, boysenberry and fig flavors fill this soft and generous wine. It has a medium-red color, medium body and very fruity aromas. A relaxed, broad texture makes it easy to drink."
Fenestra,Sémillon,86.0,15.0,1,"The oak is at the fore on this wine, with aromas and flavors of vanilla, dill and baking spices in front of cherry and green pepper. The aromas give a sense of some oxygen exposure."
Fenestra,Tempranillo,87.0,23.0,1,"This nonvintage blend of Riesling, Gewürztraminer and Chenin Blanc has pleasing aromas of rose petals, pink grapefruit and spice. It drinks sweet with a fleshy feel."
Fenestra,Touriga Nacional,86.0,24.0,1,"Richly fruity, this wine has a smooth texture and well-concentrated black-plum flavors along with a lightly spicy, bread dough accent that adds interest. It's a touch sweet and supported by light tannins."
Fenestra,Verdelho,88.2,15.8,5,"Light fresh aromas and flavors along with decent balance make this wine a versatile drink. The flavors are faint but clean, so it makes a good palate cleanser and should work well for a crowd."
Fenestra,White Blend,87.6,18.6,5,"Merlot and Sangiovese make up nearly equal parts of this wine, with smaller amounts of Montepulciano, Malbec, Cabernet Franc and Cabernet Sauvignon. Cola, vanilla and cherry are walled within full-bodied weight and tannin, with a simple structure and finish."
Ferguson Crest,Red Blend,92.0,40.0,1,"Smoky oak surrounds robust black fruit, peppercorn and a soft, supple core of easygoing texture and rounded richness. The fruit is sourced primary from the relatively cool Oak Knoll District."
Ferguson Crest,Syrah,90.0,35.0,1,"Elégance is a five-grape Bordeaux-style blend, sourced from a single vineyard. Sweet oak scents waft up from the glass, a lush melding of various toasts, over pretty raspberry flavors. The wine is sensuous and elegant, already quite drinkable, and seems to slip away gently before you are quite ready for it to leave."
Ferrari-Carano,Bordeaux-style Red Blend,88.0,53.5,2,"The Reveler is Revelry's mainstay blend, a mix of roughly equal parts of Cabernet Franc, Cabernet Sauvignon, and Merlot. Floral and powdered sugar scents lead into a light and pretty palate, showcasing red berry flavors and a touch of minerality."
Ferrari-Carano,Cabernet Sauvignon,86.0,73.33,3,"From an estate-farmed vineyard, this medium-bodied wine is earthy and aromatic in baked bread, with soft, moderate acidity. With length and breadth, it shows a tartness of black tea and stems, finishing in oak."
Ferrari-Carano,Cabernet Sauvignon-Syrah,89.0,70.0,1,"The RR wines receive special packaging, but little technical information is provided. Though this is a 2013, it's of a piece with the winery's 2014 Pinots, which is to say that lemony acids and a plethora of herbal components overshadow the fruit. There are hints of wild berry, and a finish with light suggestions of chocolate."
Ferrari-Carano,G-S-M,87.0,39.0,1,"The wet-cement aroma is strong in this bottling that also shows mowed lawn and scratched lemon skin on the nose. The zesty flavors convey freshly cut grass, lime skin and tart kumquat, rather than being rounded with stonefruit."
Ferrari-Carano,Red Blend,87.5,22.0,2,"The deep orange-gold color makes this wine look like a late-harvest version, and fragrant floral and apricot aromas continue that impression. But the wine is dry, light-bodied, somewhat tannic and chewy in texture and nutty in flavor. It fits the distinctive Donkey & Goat style of skin-contact, non-intervention winemaking."
Ferriere Vineyards,Cabernet Franc,87.0,30.0,1,"Sharply-defined with a lemony edge, this mixes fruit flavors of tart red berry and citrus. As it breathes it seems to develop some high-toned aromatics bordering on nail polish. Drink up."
Fess Parker,Chardonnay,92.3,37.9,10,"What's not to like about this extremely fruity, easy-drinking Rhône-style blend? It smells and tastes like blackberry jam, with a lightly tannic texture. A touch of sweetness keeps it soft."
Fess Parker,Pinot Noir,91.31,55.12,32,"Smooth and accented by dried herb, this wine is tart in currant and lush in chocolate, offering a wide spectrum of aroma and flavor. Medium bodied, it picks up power and concentration on the finish, allowing for a ripeness to strike last."
Fess Parker,Red Blend,87.67,35.0,3,"This is remarkable, with modest alcohol and a concentrated, ageworthy structure. Lime and pineapple flavors are enhanced with lively, gin-like botanicals. There is vivid acidity and a lick of butterscotch on the finish."
Fess Parker,Rhône-style White Blend,88.0,19.5,2,"This is a unique and quirky blend, but so seductive. Half Sangiovese and half Cabernet Franc, it strikes an Italian pose, with scents and flavors of tobacco and sour cherry backed with lip-smacking acidity. The Cabernet Franc lends prune, plum and coffee notes."
Fess Parker,Riesling,89.33,24.0,3,"Grown in what might be the coolest climate Syrah vineyard in the state, this bottling is ferociously peppery on the nose, where tar, elderberry and seedy huckleberry scents add to its dark aromatic profile. Pepper and tar show on the palate as well, alongside purple flower and espresso bean flavors, with a slight caramel touch on the finish."
Fess Parker,Syrah,90.0,49.0,5,"This is a deep, intense and focused wine sourced from 40-year-old vines. Its 28 g/l of residual sugar is all but buried in bright acids, creating tension and depth. Grapefruit, lime and pineapple flavors burst through, making this highly cellar-worthy wine irresistible already."
Fess Parker,Viognier,91.0,36.0,1,"Compost, earth and spicy cardamom notes provide the savory intrigue of this full-bodied, expressive wine, with additional pine forest, pomegranate and orange peel flavors that add to its complexity and appeal. Sourced from several vineyards in the heart of the appellation, it represents the vintage and the location well."
Fesstivity,Rosé,91.0,40.0,1,"Juicy, tart and crisp with acidity, this is a standout vineyard designate with a bold, velvety texture. Blue fruit-driven, it's full-bodied and fleshy in all the best ways, with a plush finish that teases with cardamom and tea."
Fesstivity,Sparkling Blend,90.0,45.0,1,"Coming from one of the state's premier Syrah vineyards, this wine offers perfumed, intense aromas of boysenberry, tar, mineral, smoked meat and fresh flower. The palate boasts dense, seamless purple and black-fruit flavors that sail on the finish. It's a standout example of the variety."
Festival and Feast,Pinot Noir,87.0,24.0,1,"As reliable as the first flowers of spring, this perennial best-of-show winner offers lovely scents and flavors of fresh-picked strawberries. Subtle suggestions of rose water and orange peel can be found, along with some precise fruit-skin flavors."
Fetzer,Cabernet Sauvignon,86.75,16.25,4,"This reserve Cabernet is moving quickly toward full maturity, with a rich blend of cassis, figs and prunes, layered with streaks of stem and earth flavors. The tannins are beginning to dry out; it's a wine to drink up while it's at its peak."
Fetzer,Chardonnay,85.5,10.0,2,"Now sourced from the estate vineyard on Red Mountain, this exceptional rosé includes portions of Counoise, Cinsault and Grenache. Though the pale, coppery pink shade suggests a light wine, this is fragrant and full-bodied, with salmonberry and strawberry fruit, light spice and excellent length."
Fetzer,Gewürztraminer,86.67,10.33,3,"Sourced entirely from the Olsen vineyard, macerated on the skins for six weeks, and aged 10 months in neutral oak, this “orange” wine is bone dry, with head-turning aromas of orange liqueur, rose petals and citrus peel. Sip it slightly chilled as a warm weather apéritif."
Fetzer,Merlot,88.0,10.0,5,"Tre blends Cabernet Sauvignon, Merlot and Syrah from three vineyards in three different AVAs. Tasted just after being released, it showed good balance and flavors of cherries and spice, with some herbal threads running through the tannins."
Fetzer,Pinot Noir,87.0,15.0,1,"From grapes predominantly grown in the Oak Knoll District, this has a dusty herbaceousness. It was given plenty of time in French oak, a sensation that is pronounced on the palate and somewhat distracting."
Fetzer,Red Blend,86.0,12.0,1,"Just a tiny bit of cherry fruit shows on this wine's nose, which is otherwise focused on slate minerality and sagebrush herbals. The palate is soft but not very dynamic, with tight raspberry and flintiness as well as decent acidity and tannins. It finishes quickly."
Fetzer,Riesling,85.0,10.0,2,"Light fruit flavors suggest pomegranate and strawberry, with a little hit of nougat and coconut from time in (almost) neutral wood. It's a well-balanced effort, one that does not overreach for power in this light vintage."
Fetzer,Sauvignon Blanc,87.0,10.0,4,"This bright and vivid wine has fresh raspberry and cherry aromas, concentrated fruit flavors and a texture that has enough tannin and acidity for good balance. It's nicely made in a traditional dry style."
Fiddlehead,Pinot Noir,92.0,59.0,6,"There's a lightness to this 90% Cabernet Sauvignon and 10% Petit Verdot that surprises, making for a friendly, approachable entry. Cassis, raspberry and cedar mix around rounded tannins and a medium-length finish."
Fiddlehead,Sauvignon Blanc,92.0,34.0,2,"The nose on this wine by oil worker-turned-winemaker Ert Sevtap offers lifting aromas of blueberry and mint. The spearmint notes carry to the palate as well, which also shows blackberry fruit and roasted beef meatiness."
Fiddlehead Cellars,Pinot Noir,91.0,22.0,1,"Aromas are dominated by oak with accents of vanilla, cocoa and woodspice along with cranberries, rose hips, herbs and raspberries. The palate is elegant with herb and cherry flavors that lead to a tart, cranberry-filled finish."
Fiddlehead Cellars,Sparkling Blend,89.0,60.0,1,This single-vineyard wine offers wild blueberry with vanilla and herb accents. It's full bodied and high-octane in feel with the flavors running straight down the fairway.
Fiddletown Cellars,Barbera,89.0,29.5,4,"Grass and gooseberry are prominent on the nose and palate in this crisp SB, bright in dialed-high acidity. That sense of vibrant freshness mellows somewhat midway through the wine, allowing it to finish with a lushness on the tongue."
Fiddletown Cellars,Red Blend,88.5,43.0,4,"Named for the winery's co-proprietor and founder, Lynn's is powerfully graceful, much like the man himself, offering seamless texture and length. Full bodied and complex, it's structured and ripely satisfying in its mix of black tea, grenadine and feral evocations of a walk in the woods."
Fiddletown Cellars,Zinfandel,92.5,34.0,2,"There's an elegant weave to the aromas of this bottling, with soy, dried dill, peppercorns, crushed gravel and a touch of cedar laced throughout the black fruit on the nose. Perfectly rounded black currant, black cassis and black cherry fruits show on the sip, which is leveled by violets and pencil shavings."
Fidelitas,Bordeaux-style Red Blend,89.83,43.67,6,"Pommard and 777 clone grapes were cofermented and aged in a single new Allier oak barrel. Ripe, round and bursting with flavor, this luscious wine is a paean to blackberry fruit. Veins of licorice, espresso and dark chocolate weave through the extended finish. Cellar this for another few years if you can keep your hands off it, but know that it is almost too good to wait for."
Fidelitas,Cabernet Franc,89.0,50.0,1,"This well-aged Cab offers savory and lovely aromas of salted Asian plum, light licorice, dried violets and lilacs, and expertly seasoned beef. The palate retains a tense, chewy structure and juicy acidity that frames flavors of dried blueberry, rose hips and more plum."
Fidelitas,Cabernet Sauvignon,89.82,64.09,11,"Most of these grapes go into Antiquum Farm's estate wines, but Harper Voit has smartly snagged enough for a few barrels. Generous tannins frame ripe red and blue fruits, with streaks of artisanal chocolate and sea salt caramel. Zingy spices contribute to a complex, lingering finish. All the Harper Voit 2014 Pinots are built for immediate pleasure, so no need to wait."
Fidelitas,Merlot,89.6,49.0,5,"An appealing wine for all types of Chardonnay palates, this bottling shows Meyer lemon zest, sea salt, tangerine pith, savory saffron and a touch of light butter on the nose. A salty lemon-curd flavor combo kicks off the palate, followed by honeysuckle and buttercream, proving rich yet dissected by smart acidity."
Fidelitas,Red Blend,91.0,50.0,1,"From select barrels, this “no name” reserve takes the signature elements of the winery's Pinots—notably forward, plush berry fruits and a strong whiff of tobacco—and punches them up to the next level. Big, solid, almost chunky with packed flavor, it touches lightly on lifted aromatics, and frames its tannins in dark chocolate."
Fidelitas,White Blend,91.0,32.0,1,"Dense, intense, concentrated and young, this wine is one for the cellar. It has tight aromas of cranberry, dried cherry and cardamom, while flavors offer ripe fruit character and a firm texture of fine-grained tannins. It should gain more complexity and smoothness after 2022."
Fidelity,Zinfandel,91.0,16.0,1,"In this opulent, layered and full-bodied wine, a smoky beefy aroma and a melt-in-the-mouth texture come with flavors of dark maraschino cherries, dark chocolate and baking spices. It's very mouth filling and mouth coating as well as firmly tannic, but the richness of the flavors helps it to drink very smoothly."
Field Stone,Petite Sirah,87.0,20.0,1,"This bottling, which is balanced by 16% Cabernet Franc and 9% Merlot, rides the savory edge of the grape, with aromas of underbrush and dried herbs giving depth to the black-olive and black-currant aromas. The palate offers a mix of red and darker fruits, including cranberry, plum and blackberry, with touches of thyme and anise."
Field Stone,Red Blend,82.0,15.0,1,"Very fresh although not particularly fruity aromas of raspberry mesh with allspice, thyme and tarragon on the nose of this block-designate bottling from the historic vineyard. Energetic and lighter red-fruit flavors like pomegranate show on the sip, where fennel is the dominant spice."
Field Stone,Syrah,90.0,25.0,1,"This estate-driven wine combines 84% Cabernet Sauvignon, 10% Cabernet Franc and 6% Merlot. Made in a classical Old-World style, it offers chalky tannin around composted earth, blackberry and cassis. The texture is firm and grippy, with supportive acidity at its core."
Field Stone,Viognier,88.0,25.0,1,"This wine's aromas are a bit locked up at present, revealing plum, herb, clove and barrel spice notes as it opens. The palate is dense and rich, full of dark fruit flavors and generous barrel accents. It pulls no punches."
Fielding Hills,Cabernet Franc,90.29,31.71,7,"This wine is a blend of all six Bordeaux varieties: 35% Merlot, 30% Cabernet Sauvignon, 25% Cabernet Franc, 4% Carménère, 3% Malbec and 3% Petit Verdot. Its coffee, cranberry, herb, currant, barrel spice and anise aromas lead to tightly wound, layered red and black fruit flavors. Plump, silky tannins provide the frame."
Fielding Hills,Cabernet Sauvignon,92.2,42.8,5,"This blend of 47% Grenache, 35% Mourvèdre and 18% Syrah is reminiscent of a walk through the dewy sagebrush, with dried wild herbs most prominent alongside cola, rustic plum and mulberry and a hint of pine forest. Those forest-like flavors show on the sip as well, with bay leaf, green peppercorn and a savory salts enhancing the baked berry and tangy plum skin elements—a GSM with teeth and structure."
Fielding Hills,Malbec,91.0,36.0,2,"Full and piquant aromas of black fruit, purple flowers, asphalt and pepper make for a rich and flowery nose on this bottling. Concentrated flavors of black currant and black plum ride a relatively light and airy body all the way into a grippy tannin-laced finish."
Fielding Hills,Merlot,90.4,36.8,5,"For those wondering what minerality means in a red wine, this bottling is the answer. Against the black cherry and dark strawberry on the nose rise powerful crushed slate and smashed graphite aromas. The palate starts with cranberry and pomegranate, but the slate and rocky-soil flavors swing back in, giving backbone to the hints of bay leaf and herbs."
Fielding Hills,Red Blend,89.88,33.0,8,"This wine is half Cabernet Sauvignon, with the rest equal parts Cabernet Franc and Merlot. It's subtle on the nose, with currant, flower, crushed rock and herb notes. The palate is firmly structured, punctuating the flavors on the finish. Best 2025–2030."
Fielding Hills,Rosé,88.0,24.0,2,"A compelling spicy aroma and richly layered fruit give a lot of appeal to this full-bodied, fully tannic and nicely sculpted wine. It has a deep dark color, captivating oak and white-pepper aromas and a rich generous mouthfeel accompanied by an appropriately high level of fine-grained tannin. Best after 2020."
Fielding Hills,Syrah,90.75,39.5,8,"Aromas of vanilla-flecked and butter-laced pastry filled with cassis sauce show on the nose of this rich blend of 62% Syrah and 38% Mourvèdre from the Bien Nacido and Jada vineyards. The sip is very well structured by upright sticky tannins, which hold up flavors of crushed gravel and slate and a piquant boysenberry jam."
Fields,Cinsault,91.0,26.0,1,"Barrel notes of toast, butterscotch and spice are at the fore along with melted butter and peach on this 100% Canyon Vineyard Ranch wine. It's full bodied with a rich, creamy feel, wanting a bit more concentration and acidity to keep it together."
Fields Family,Red Blend,90.0,25.0,1,"Despite coming from a warm vintage, this appealing, well-priced wine has plenty of acid to go with its sleek yet ripe fruit. The fresh herb and cherry aromas and flavors distinctly announce it as Cabernet, with smoke on the finish."
Fields Family,Shiraz,89.0,42.0,1,"Steely on the nose, this Amy Butler bottling shows lemon blossoms, dried apples, ripe pear, lime juice and a touch of peach. The palate is high-toned and tight with citrus zest and lemon-verbena notes, dancing across the tongue on acidic tippy toes."
Fields Family,Syrah,88.75,22.0,4,"Light aromas of vanilla, coconut, exotic spices and blue fruit are followed by plump, tart fruit flavors and firm, somewhat astringent tannins. There are a lot of good things going on but the tannins need to be tamed."
Fields Family,Zinfandel,91.0,28.17,6,"The aromas of cigar box, lemon peel, woodspice and green herbs are distinctive. The palate brings tart, spritely acids, sultry fruit flavors and firm, somewhat blocky tannins. It needs to be on a dinner table to show its best."
Fifi,Sangiovese,90.0,24.0,1,"Hailing from one of the state's premier Syrah sites, this wine leads with aromas of berry, coffee, chicory and violets. The flavors are supple, backed by lightly grainy tannins."
Figge,Cabernet Sauvignon,88.0,35.0,1,"Dark, with a complex nose mixing very ripe, raisiny fruit with smoke and a hint of spoilage. The wine seems pushed just over the edge, losing focus and definition. The fruit quickly gives way to leaf and forest floor flavors in an herbal, earthy finish."
Figgins,Bordeaux-style Red Blend,94.67,85.0,6,"This is a fine budget bottle, with an aromatic mix of tart berry and pine needle. A streak of chocolate surrounds a supple, smooth wine that carries its tangy fruit through a satisfying finish, with just a suggestion of tanned leather."
Figgins,Riesling,90.33,30.0,3,"Hailing from one of the state's top Syrah sites, this wine offers reserved aromas of violets and raspberries along with whiffs of smoked meat and green herbs. The layered flavors are elegant yet intense, with vibrant acidity and a finish with plenty of hang time. The pleasure is as much about feel as flavor."
Finn Hill,Cabernet Franc,88.0,35.0,1,"Cabernet Sauvignon (81%) takes the lead on this wine with the rest Merlot. Intriguing aromas of dried herb, moist earth, funk and blackberry reveal a palate full of concentrated fruit and savory flavors. It shows a sense of freshness and finesse."
Finn Hill,Cabernet Sauvignon,89.0,35.0,2,"This wine is a blend of Cabernet Franc (45%), Merlot (45%) and Cabernet Sauvignon. The aromas—both perfumed and subtle—pop with notes of flowers, cassis bud, moist earth, funk, orange peel and red fruit. The flavors are concentrated and velvety, displaying a soft, compelling feel."
Finn Hill,Merlot,89.0,32.5,2,"One of the most compelling wines of its ilk, this big beauty has pure, focused and delicious fruit flavors, spicy and perfumed oak accents, and a very full body. The good mix of lively acidity and velvety tannins make it feel luxurious without smothering the taste buds."
Finn Hill,Petit Verdot,87.0,30.0,1,"A successful exploration of how Chardonnay can be both sharp with green fruit yet full in body, this bottling offers just-cut kiwi, crisp Asian and Anjou pear, lemon wedges and underripe mandarin on the chalky nose. A strong simmering acidity and intriguing texturality present flavors of lemongrass and green-apple flesh, with tangy lime pith in the background. Drink now while fresh."
Finn Hill,Riesling,87.67,18.67,3,"This blend of Syrah, Grenache and Mourvèdre grown on the Chesebro family property indeed reflects the wild mountains, with aromas of black pepper, white pepper, lilac, wisteria, lavender oil, elderberry, cola and Dr Pepper on the lively nose. Root beer pops on the palate along with boysenberry, charcoal, tar and black pepper. It's vibrant and delicious."
Finn Hill,Rosé,87.0,18.0,1,"This is a funky briny wine that still seems a bit closed up on first pour. The palate is silky and focused, not having fully come together as of yet but still offering generous fruit, smoked meat and other savory flavors. It's all about elegance."
Finn Hill,Sangiovese,86.0,20.0,3,"The waves of aromas on this bottling are quite intriguing, starting with meat then moving to black olive and tobacco. It finally settles into dense rose petals, purple flowers, cinnamon, dark hibiscus and black plum. The sip focuses on minerality, with chipped slate showing first, then goes toward juniper and pine, all against a black raspberry and pomegranate backdrop."
Finn Hill,Sauvignon Blanc,86.0,18.0,1,"Quite aromatic on first pour, this wine shows green peppercorn, violets, earth, smoked meat and savory aromas. The fruit and savory flavors are generous, showing length and depth."
Finn Hill,Syrah,88.0,35.0,2,"This impressively textured, focused and voluptuous wine offers well-defined flavors and aromas of honey, caramel and crisp Golden Delicious apple. Seamless and well balanced, it impresses from start to finish, with buoyant, supportive acidity at its core."
Firebrix,Cabernet Sauvignon,87.0,12.0,1,"Stunningly good, this hits you with waves of fruit, acidity and spice. It reverberates across, down and through the palate, recalling clover, citrus zest and grapefruit, all underlaid by bracing minerality."
Firebrix,Merlot,86.0,12.0,1,"Named after neighboring winery owner Mike Etzel (Beaux Frères), this exceptional wine is brilliantly focused and rippling with muscular depth. The palate is etched with blackberry and black cherry fruit, immersed in lush vanilla, coffee and caramel tones. It's instantly gratifying, impossibly seductive and exceptional in every way."
Firebrix,Red Blend,87.0,12.0,1,"The aromas explode with notes of potpourri, olive, smoked meat, fire pit, orange peel, mineral, mushroom, garrigue and white pepper. The palate is lifted, bright but intensely flavored, loaded with flower, berry, olive and charcuterie flavors. The finish seems near endless and the sense of balance is exquisite. It's shockingly good."
Firesteed,Chardonnay,87.0,35.0,1,"From Draper clone vines planted in 1965, this bright gold-hued wine brings myriad details to its apple, jicama, white peach and nut oil flavors. A whiff of smoke carries throughout, and its sheer complexity strains the vocabulary. Stay with it as more subtle layers unfold. Though seductive now, it should mature well through 2030."
Firesteed,Pinot Noir,86.0,75.0,1,"For fans of the variety, this is a consistently blockbuster wine, well made and remarkably fruity and floral. Violet aromas ride quietly over rounded flavors of cherry pie as the body takes on full-figured dimension. Richly voluptuous, there's balance here within the firm robust tannin structure and heady licorice-laden end."
Firesteed,Rosé,88.0,16.0,1,"Dark in color, this rosé made from Grenache grapes is quite sour and a little off-balance, though the bottle it comes in is very pretty."
Firestone,Bordeaux-style Red Blend,88.75,48.5,4,"This is a juicy, perfect melding of citrus and light tropical fruit flavors. With impeccable balance and poise, this thrilling, entirely stainless-steel-fermented Viognier persists well onto the graceful finish."
Firestone,Cabernet Sauvignon,89.0,41.5,4,"Smooth and textured, this is a supple, lightly earthy and aromatic Bordeaux-style blend. The principal components are Cabernet Sauvignon, Cabernet Franc and Merlot, with smaller amounts of Malbec and Petit Verdot. One gets the feeling that the winery was still finding its way during production; this was made by a winemaker no longer at Corliss. Berry, plum, fig, dried herb and cedar are all in the mix—it's more genteel than generous."
Firestone,Chardonnay,86.0,27.0,1,"Thoroughly delicious, this clever blend of Grenache Blanc, Roussanne, Viognier and Marsanne is a joyride of green and yellow fruit, citrus and pear, honeydew melon and sweet orange peel. It's complex and distinctive."
Firestone,Merlot,86.0,40.0,2,"This is a three-grape Bordeaux-style blend that is three-fifths Cabernet Sauvignon and one-fifth each Merlot and Petit Verdot. It has tremendous flavor appeal, featuring a lush mix of red and black fruit—both berry and plum—with generous barrel flavors of mocha and espresso. It gains mass and breadth as it breathes."
Firestone,Pinot Noir,85.0,35.0,1,"Bésoleil gains complexity with each new vintage. Grenache makes up the bulk of the blend, plus 18% Mourvèdre, 11% Cinsault and 6% Syrah. Deliciously spicy with cranberry, raspberry and other red fruit flavors, this tightly wound wine will reward decanting. The minerality and supple tannins suggest that it may be cellared as well."
Firestone,Sauvignon Blanc,87.0,20.0,2,"This is wonderfully aromatic and forward, with lush fruit-pie flavors of blackberry and black cherry. There are graceful notes sprinkled generously throughout, hinting at peppery herb and anise. At once smooth and supple, long and generous, this is drinking exceptionally well."
Firestone,Syrah,90.75,32.5,4,"Monolith is a Bordeaux-style blend—mostly Cabernet Sauvignon—that's dark, smooth and smoky. Citrus scents adorn the deep fruit, which resolves in earthy, substantial tannins. The wine spent 22 months in 100% new French oak, yet the barrel notes seem muted, and the intense fruit is certainly up to the challenge."
Five Rows,Cabernet Sauvignon,86.0,14.0,1,"Big for a Riesling, this has concentrated, sappy, rich tropical-fruit flavors. The grapes used were sourced from the Lawrence Vineyard on the Royal Slope. It has a fair amount of residual sugar, adding extra richness. Succulent peach, apricot and papaya notes sends lip-licking flavors deep into the finish."
Five Rows,Chardonnay,86.5,13.5,2,"This introduces itself with sweet scents of plum and cherry, the sort found in young vines. It moves into a thick, well-structured midpalate, with big splashes of coffee, earth and roasted nut."
Five Star Cellars,Bordeaux-style Red Blend,91.0,48.0,1,"Vanilla and green wood aromas are at the fore, followed by cherry and herbs. The fruit flavors are sweet and elegant, with the oak nearly completely overriding them."
Flanagan,Chardonnay,94.0,62.0,1,"Lighter in color, this Syrah (83%)-dominated blend shows aromas of dehydrated blueberries, milk chocolate, black olive and plum. The blue fruit flavors are lightly sweet, with some residual sugar holding it together."
Fleming Jenkins,Syrah,90.0,40.0,1,"Syrupy and dense, this is a burly wine, soft but powerful, that keeps coming back to the theme of blackberry syrup. Velvety tannins buoy the midpoint, before it finishes in a burst of intense ripeness."
Fleur de California,Rosé,87.0,16.0,1,"Light in color and medium bodied, this unusual wine presents a weightiness, a throwback to California's earlier days of more widespread plantings of Gamay. This one offers a thick, syrupy overtone of blueberry and cherry, soft on the midpalate with nominal structure."
Flinch,Zinfandel,90.0,38.0,1,"Lavender, potpourri, cranberry-orange juice, Sichuan peppercorn, graphite and cinnamon hit the nose on this bottling from winemaker Aaron Walker. The complex, ever-evolving palate blends pomegranate and citrus rinds with black slate, peppercorns, dried oregano, thyme and rosemary."
Flora Springs,Bordeaux-style Red Blend,92.0,80.0,1,"Wound tightly, this burly, brawny bruiser comes out of its shell slowly to reveal soft, perfumy notes of violet and blueberry. Flavors of dark chocolate and jam sit atop powerfully rich, dense pockets of leather and black pepper. Drink now through 2023."
Flora Springs,Cabernet Sauvignon,91.08,126.92,13,"This wine's distinct and intriguing nose pairs cola and cinnamon with cranberry, chopped chaparral scrub and wildfire smoke. That scrubby character of green sage and mugwort extends to the palate, spicing up the beet juice, ripe raspberries and a pencil-lead backbone."
Flora Springs,Chardonnay,88.0,35.0,3,"This is a pretty wine, vibrant in white pepper and braised meat. The nose is pure violet and blueberry, while the approach to the fruit is light-handed, with integrated tannins and a low oak imprint. Entirely varietal, it delves into earthy territory with elements of forest floor and dark chocolate."
Flora Springs,Merlot,92.0,85.0,1,"Crisp undercurrents of tangerine, grapefruit and cranberry provide a brightness and light to this wine, which is velvety-smooth on the palate. An inaugural release for the producer from this vineyard, it bristles with cinnamon and clove, delving into black pepper spiciness as well. Drink this structured wine now through 2023."
Flora Springs,Red Blend,92.0,56.0,3,"A skyscraper-sized blend of 57% Cabernet Sauvignon, 30% Syrah, 9% Cabernet Franc and 4% Malbec, this is a generously structured, tannic and bold expression of plum, leather and pencil lead that leans into gamy, black pepper notes as well. Velvety smooth, it has years to go in the bottle. Cellar through 2025."
Flora Springs,Sauvignon Blanc,92.0,50.0,1,"A Cabernet Sauvignon-dominant mixture with 11% Cabernet Franc, 3% Petit Verdot and 1% Malbec, this powerfully generous wine has a thread of classic black olive and dried herb that provides a restrained edge. Tightly woven tannin and oak give added strength and structure."
Flowers,Chardonnay,93.0,85.0,2,"From the 1,400-elevation Van der Kamp Vineyard, this wine conveys roses and black tea, along with a woodsy, truffle-like character. While powerfully round and soft, it offers elegance in abundance, alongside a swatch of fresh-dug earth and a thick finish of forest floor. Drink now through 2022."
Flowers,Pinot Noir,91.29,72.14,7,"Flinty lemon and caramel are flouted around rich layers of caramel and baked quince in this blend of two vineyard sites, both planted to Wente selection Chardonnay. The richness of the vineyards speaks loudly enough to call for only neutral oak to be used in aging. The finish brings a spark of pineapple and mango custard."
